"Subject","Block","Trial","L_choice","R_choice","L_reward","R_reward","Sub_Choose","Frame","NetWorth","RT"
"2","1","24","C","D",-36,-40,"C","Loss",176,2612
"2","1","25","A","C",36,-36,"A","Catch",212,1481
"2","1","26","A","B",36,40,"A","Gain",248,2298
"2","1","27","B","A",40,36,"A","Gain",284,1925
"2","1","28","A","B",36,40,"A","Gain",320,1957
"2","1","29","A","B",36,40,"A","Gain",356,1436
"2","1","30","B","A",40,36,"A","Gain",392,1185
"2","1","31","D","C",-40,-36,"D","Loss",352,1551
"2","1","32","B","A",40,36,"A","Gain",388,1342
"2","1","33","D","C",-40,-36,"C","Loss",352,4710
"2","1","34","C","D",-36,-40,"C","Loss",316,4175
"2","1","35","D","C",0,-36,"D","Loss",316,3141
"2","1","36","C","D",-36,-40,"C","Loss",280,4285
"2","1","37","C","D",-36,-40,"D","Loss",240,2247
"2","1","38","C","D",-36,-40,"D","Loss",200,4546
"2","1","39","C","D",-36,0,"C","Loss",164,1730
"2","1","40","B","A",0,36,"A","Gain",200,1258
"2","1","41","C","A",-36,36,"A","Catch",236,957
"2","1","42","B","C",40,-36,"B","Catch",276,4061
"2","1","43","A","B",36,0,"A","Gain",312,1808
"2","1","44","D","C",-40,-36,"C","Loss",276,5509
"2","1","45","B","A",40,36,"A","Gain",312,1182
"2","1","46","B","A",0,36,"A","Gain",348,3964
"2","1","47","A","B",36,40,"A","Gain",384,1299
"2","1","48","B","A",40,36,"A","Gain",420,1140
"2","1","49","B","A",40,36,"A","Gain",456,1116
"2","1","50","D","C",-40,-36,"C","Loss",420,1725
"2","1","51","D","B",-40,40,"B","Catch",460,3502
"2","1","52","D","C",-40,-36,"C","Loss",424,2103
"2","1","53","C","D",-36,-40,"D","Loss",384,3873
"2","1","54","A","D",36,-40,"A","Catch",420,964
"2","1","55","B","D",40,-40,"B","Catch",460,1706
"2","1","56","C","D",-36,-40,"C","Loss",424,2011
"2","1","57","D","C",-40,-36,"C","Loss",388,1328
"2","1","58","A","B",36,40,"A","Gain",424,1672
"2","1","59","D","C",-40,-36,"C","Loss",388,1507
"2","1","60","A","B",36,40,"A","Gain",424,989
"2","2","1","D","A",-40,36,"A","Catch",460,2559
"2","2","2","B","A",40,36,"A","Gain",496,1013
